jméno,rok vydání,režisér,hlavní herci
Příběh z Tokia,1953,Yasujirô Ozu ,"[' Chishû Ryû', ' Chieko Higashiyama']"
Mzda strachu,1953,Henri-Georges Clouzot ,"[' Yves Montand', ' Charles Vanel']"
Zpívání v desti,1952,Stanley Donen ,"[' Gene Kelly', "" Donald O'Connor""]"
Žít,1952,Akira Kurosawa ,"[' Takashi Shimura', ' Nobuo Kaneko']"
Sunset Blvd.,1950,Billy Wilder ,"[' William Holden', ' Gloria Swanson']"
Rašomon,1950,Akira Kurosawa ,"[' Toshirô Mifune', ' Machiko Kyô']"
Vše o Evě,1950,Joseph L. Mankiewicz ,"[' Bette Davis', ' Anne Baxter']"
Třetí muž,1949,Carol Reed ,"[' Orson Welles', ' Joseph Cotten']"
Zloději kol,1948,Vittorio De Sica ,"[' Lamberto Maggiorani', ' Enzo Staiola']"
Poklad na Sierra Madre,1948,John Huston ,"[' Humphrey Bogart', ' Walter Huston']"
Zivot je krásný,1946,Frank Capra ,"[' James Stewart', ' Donna Reed']"
Pojistka smrti,1944,Billy Wilder ,"[' Fred MacMurray', ' Barbara Stanwyck']"
Casablanca,1942,Michael Curtiz ,"[' Humphrey Bogart', ' Ingrid Bergman']"
To Be or Not to Be,1942,Ernst Lubitsch ,"[' Carole Lombard', ' Jack Benny']"
Občan Kane,1941,Orson Welles ,"[' Orson Welles', ' Joseph Cotten']"
Diktátor,1940,Charles Chaplin ,"[' Charles Chaplin', ' Paulette Goddard']"
Mrtvá a živá,1940,Alfred Hitchcock ,"[' Laurence Olivier', ' Joan Fontaine']"
Jih proti Severu,1939,Victor Fleming ,"[' Clark Gable', ' Vivien Leigh']"
Pan Smith přichází,1939,Frank Capra ,"[' James Stewart', ' Jean Arthur']"
Moderní Doba,1936,Charles Chaplin ,"[' Charles Chaplin', ' Paulette Goddard']"
Stalo se jedné noci,1934,Frank Capra ,"[' Clark Gable', ' Claudette Colbert']"
Světla velkoměsta,1931,Charles Chaplin ,"[' Charles Chaplin', ' Virginia Cherrill']"
Vrah mezi námi,1931,Fritz Lang ,"[' Peter Lorre', ' Ellen Widmann']"
Utrpení Panny orleánské,1928,Carl Theodor Dreyer ,"[' Maria Falconetti', ' Eugene Silvain']"
Metropolis,1927,Fritz Lang ,"[' Brigitte Helm', ' Alfred Abel']"
Frigo na mašině,1926,Clyde Bruckman ,"[' Buster Keaton', ' Marion Mack']"
Zlaté Opojení,1925,Charles Chaplin ,"[' Charles Chaplin', ' Mack Swain']"
Sherlock Jr.,1924,Buster Keaton ,"[' Buster Keaton', ' Kathryn McGuire']"
Kid,1921,Charles Chaplin ,"[' Charles Chaplin', ' Edna Purviance']"
