date,location,state,airline,aircraft_brand,no_deaths,no_survivors,no_ground_casualties
15-09-1974,Phan Rang, South Vietnam,Air Vietnam (South Vietnam),Boeing,75,0,0
19-10-1974,Calapan, Philippines,Mabuhay Airways,Douglas,1,7,0
27-10-1974,Old Man's Camp, Alaska,Alaska International Air,Lockheed,4,0,0
28-10-1974,Pagosa Springs, Colorado,Hlavka Aviation - Air Taxi,Beechcraft,2,0,0
01-11-1974,Near Surgut, Russia,Aeroflot,Antonov,38,0,0
15-11-1974,Manila, Philippines,Orient Air System and Integrated Services,Douglas,1,7,0
20-11-1974,Near Nairobi, Kenya,Lufthansa,Boeing,59,98,0
20-11-1974,Soddu, Ethiopia,Ethiopian Airlines,Douglas,2,22,0
22-11-1974,Barcelona, Spain,Alpa Servicios Aéreos,Cessna,4,0,0
01-12-1974,Near Berryville, Virginia,Trans World Airlines,Boeing,92,0,0
01-12-1974,neznama,neznama,Northwest Orient Airlines,Boeing,3,0,0
04-12-1974,Irkutsk, Russia,Aeroflot,Antonov,13,5,0
04-12-1974,Near Maskeliya, Sri Lanka,Martinair Holland NV,McDonnell,191,0,0
11-12-1974,Near Old Harbors, Alaska,Kodiak Airways,Grumman,5,0,0
12-12-1974,Near Moc Hoa, South Vietnam,Military - Vietnamese Air Force,Boeing,54,0,0
14-12-1974,Bukhara, Uzbekistan,Aeroflot,Yakovlev,7,12,0
22-12-1974,Maturin, Venezuela,Aerovias Venezolanas SA (Venezuela),McDonnell,77,0,0
29-12-1974,Near Sibiu, Romania,Tarom,Antonov,33,0,0
29-12-1974,Tikal, Guatemala,Edwin Ortiz,Lockheed,24,0,0
03-01-1975,Near Nha Trang, Vietnam,Air America,Fairchild,9,0,0
08-01-1975,Near Doncello, Colombia,SATENA,Douglas,21,0,0
09-01-1975,Whittier, California,Golden West Airlines / Private,de,14,0,0
15-01-1975,Budapest, Hunary,Malev Hungarian Airlines,Ilyushin,9,0,0
16-01-1975,Xam Neua, Laos,Aeroflot,Antonov,16,0,0
30-01-1975,Istanbul, Turkey,Turkish Airlines (THY),Fokker,42,0,0
30-01-1975,Santo Domingo, Dominican Republic,Linea Aérea Nacional,Douglas,2,28,0
01-02-1975,Houston, Texas,Horizon Properties,Douglas,5,11,0
03-02-1975,Manila, Philippines,Philippine Air Lines,Hawker,33,0,0
09-02-1975,Souda, Crete,Military - Deutsche Luftwaffe,Transall,40,0,0
16-02-1975,Fairbanks, Alaska,Pacific Alaska Airlines,Douglas,3,0,0
22-02-1975,Medellin, Colombia,Aerocondor,Canadair,5,0,0
27-02-1975,Near Sao Paulo, Brazil,VASP,Embraer,15,0,0
12-03-1975,Pleiku, South Vietnam,Air Vietnam (South Vietnam),Douglas,26,0,0
16-03-1975,Near Barito, Argentina,Military - Argentine Air Force,Fokker,55,0,0
18-03-1975,Singa, Sudan,Sudan Airways,de,5,1,0
18-03-1975,Near Terney, Russia,Aeroflot,Antonov,7,5,0
20-03-1975,Near Quilcene, Washington,Military - U.S. Air Force,Lockheed,16,0,0
04-04-1975,Saigon, South Vietnam,Military - U.S. Air Force,Lockheed,155,175,0
13-05-1975,Near Sakon Nakhon, Thailand,Military - U.S. Air Force,Sikorsky,23,0,0
03-06-1975,Manila, Philippines,Philippine Air Lines,BAC,1,63,0
17-06-1975,Pedro Alfonso, Brazil,Varig,Hawker,1,14,3
24-06-1975,neznama,neznama,Eastern Air Lines,Boeing,113,11,0
26-06-1975,Toledo, Ohio,Hamilton Aviation,Beechcraft,2,0,0
10-07-1975,Bogota, Colombia,Aerovias Condor,Lockheed,2,2,0
15-07-1975,neznama,neznama,Aeroflot,Yakovlev,40,0,0
31-07-1975,Taipei, Taiwan,Far Eastern Air Transport,Vickers,27,48,0
03-08-1975,Near Immouzer, Morocco,Alia Royal Jordanian Airlines,Boeing,188,0,0
03-08-1975,Off Amapala, Honduras,Military - Nicaraguan Air Force,Douglas,20,0,0
07-08-1975,Denver, Colorado,Continental Airlines,Boeing,0,131,0
09-08-1975,Bagdarin, Russia,Aeroflot,Ilyushin,11,0,0
15-08-1975,Krasnovodsk, USSR,Aeroflot,Yakovlev,23,15,0
20-08-1975,Near Damascus, Syria,Ceskoslovenske Aerolinie,Ilyushin,126,2,0
30-08-1975,Near Gambell, Alaska,Wien Air Alaska,Fairchild,10,22,0
01-09-1975,Leipzig-Halle, East Germany,Interflug,Tupolev,27,7,0
11-09-1975,Near Bahar Dar, Ethiopia,Ethiopian Airlines,Douglas,1,8,0
24-09-1975,Near Palembang, Indonesia,Garuda Indonesia Airlines,Fokker,25,36,1
30-09-1975,Off Beirut, Lebanon,Malev Hungarian Airlines,Tupolev,60,0,0
30-09-1975,Barranquilla, Colombia,AVIANCA,Boeing,4,0,0
22-10-1975,Novgorod, Russia,Aeroflot,Yakovlev,6,0,5
23-10-1975,neznama,neznama,Connair,de,11,0,0
27-10-1975,Tomonoco, Bolivia,TAM (Bolivia),Convair,67,0,0
30-10-1975,Near Prague, Czechoslovakia,Inex Adria Aviopromet,McDonnell,75,45,0
03-11-1975,neznama,neznama,Petroleum Helicopter,Bell,9,0,0
17-11-1975,neznama,neznama,Aeroflot,Antonov,38,0,0
18-11-1975,Caoba, Guatemala,Aviateca,Douglas,15,7,0
20-11-1975,neznama,neznama,Aeroflot,Antonov,19,31,0
22-11-1975,Sofia, Bulgaria,Balkan Bulgarian Airlines,Antonov,3,45,0
25-11-1975,Near Bir Lahfan, Egypt,Military - Israel  Air Force,Lockheed,20,0,0
29-11-1975,Hertfordshire, England,Private,Piper,6,0,0
26-12-1975,Rollinsville, Colorado,Star Aviation,Mitsubishi,9,0,0
01-01-1976,Near Al Qaysumah, Saudi Arabia,Middle East Airlines,Boeing,82,0,0
03-01-1976,Anchorage, Alaska,Winship Air,Lear,6,0,0
03-01-1976,Moscow, Russia,Aeroflot,Tupolev,61,0,1
08-01-1976,Mactan Island, Philippines,Philippine Aerotransport,Britten-Norman,7,0,0
18-01-1976,Near San Borja, Bolivia,Frigorifico Maniqui,Douglas,7,3,0
20-01-1976,Near Loja, Ecuador,TAME,Hawker,34,8,0
21-01-1976,Near Shanghai, China,CAAC,Antonov,40,0,0
22-01-1976,Chapeco, Brazil,Transbrasil,Embraer,9,2,0
04-02-1976,Off Santa Maria, Colombia,LAC Colombia,Douglas,3,0,0
08-02-1976,Van Nuys, California,Mercer Airlines,Douglas,3,3,0
09-02-1976,Irkutsk, Russia,Aeroflot,Tupolev,24,100,0
21-02-1976,St. Croix, Virgin Islands,Antilles Air,Grumman,5,6,0
01-03-1976,Sibiu, Romania,Tarom,Ilyushin,6,3,0
02-03-1976,neznama,neznama,TAM (Bolivia),IAI,19,3,0
06-03-1976,Near Voronezh, Russia,Aeroflot,Ilyushin,111,0,7
07-03-1976,Igiugig, Alaska,Kodiak Western Alaska Airlines,Cessna,4,0,0
02-04-1976,Near Puerto Asis, Colombia,SATENA,Douglas,5,11,0
05-04-1976,Ketchikan, Alaska,Alaska Airlines,Boeing,1,49,0
14-04-1976,Neuquen, Argentina,Yacimientos Petroliferos Fiscales,Hawker,34,0,0
23-04-1976,neznama,neznama,Petroleum Helicopter,Bell,12,0,0
27-04-1976,St. Thomas, Virgin Islands,American Airlines,Boeing,37,51,0
05-05-1976,Camuigan, Philippines,Philippine Aerotransport,Britten-Norman,4,6,0
09-05-1976,Near Cuneca, Spain,Military - Imperial Iranian Air Force,Boeing,17,0,0
15-05-1976,neznama,neznama,Aeroflot,Antonov,52,0,0
23-05-1976,Zamboanga, Philipines,Philippine Air Lines,BAC,14,73,3
01-06-1976,Nacias Nguema, Equatorial Guinea,Aeroflot,Tupolev,45,0,0
04-06-1976,Agana, Guam,Air Manila,Lockheed,45,0,1
06-06-1976,Off Kota Kinabalu, Malaysia,Sabah Air,GAF,11,0,0
27-06-1976,Entebbe, Uganda,Air France,Airbus,7,251,0
05-07-1976,Daiku, Burma,Military - Burma Air Force,Douglas,17,0,0
28-07-1976,Bratislava, Czechoslovakia,Ceskoslovenske Aerolinie,Ilyushin,76,3,0
02-08-1976,Near Tehran, Iran,Korean Airlines,Boeing,5,0,0
09-08-1976,neznama,neznama,Military - Spanish Air Force,Douglas,12,20,0
15-08-1976,Andes Mountains, Ecuador,SAETA,Vickers,59,0,0
28-08-1976,Ho Chi Minh City, Vietnam,Air France,Sud,1,19,0
28-08-1976,Near Thorney, England,Military - U.S. Air Force,Lockheed,18,0,0
02-09-1976,Hawk Inlet, Alaska,Temsco Helicopter - Air Taxi,Hughes,3,1,0
03-09-1976,neznama,neznama,Military - Venezuelan Air Force,Lockheed,68,0,0
09-09-1976,Off Adler, Russia,Aeroflot / Aeroflot,Antonov,64,0,0
10-09-1976,neznama,neznama,Inex Adria Aviopromet / British Airways,McDonnell,176,0,0
19-09-1976,Karatepe Mountains, Turkey,Turkish Airlines (THY),Boeing,154,0,0
26-09-1976,Near Alpena, Michigan,Military - U.S. Air Force,Boeing,15,5,0
04-10-1976,Nairobi, Kenya,Emirates Air Transport,Douglas,4,0,0
06-10-1976,Off Bridgetown, Barbados,Cubana de Aviacion,McDonnell,73,0,0
13-10-1976,Santa Cruz, Bolivia,Lloyd Aéreo Boliviano,Boeing,3,0,113
13-10-1976,Near Bombay, India,Indian Airlines,Sud-Aviation,95,0,0
28-10-1976,Near Petrolia, Brazil,Nordeste Linhas Aéreas,Embraer,2,5,0
04-11-1976,Banjarmasin, Indonesia,Bali International Air Service,Fokker,29,9,0
05-11-1976,neznama,neznama,Inair Panama,Douglas,2,0,0
23-11-1976,Kozani, Greece,Olympic Airways,NAMC,50,0,0
28-11-1976,Moscow, Russia,Aeroflot,Tupolev,73,0,0
12-12-1976,Cape May, New Jersey,Atlantic City Airlines,de,3,7,0
17-12-1976,	Ust-Kut, Russia,Aeroflot,Yakovlev,7,0,0
17-12-1976,Kiev, USSR,Aeroflot,Antonov,48,7,0
18-12-1976,Nnear Yuzhno-Sakhalinsk, Russia,Aeroflot,	Ilyushin,8,0,0
25-12-1976,Near Bangkok, Thailand,EgyptAir,Boeing,53,0,19
31-12-1976,Near Trujillo, Peru,Faucett,Douglas,19,0,0
06-01-1977,Near Palm Springs, California,Jet Avia Charter,Gates,4,0,0
13-01-1977,Anchorage, Alaska,Japan Air Lines,Douglas,5,0,0
13-01-1977,neznama,neznama,Aeroflot,Tupolev,90,0,0
14-01-1977,neznama,neznama,Northern Thunderbird Air Ltd.,de,12,0,0
15-01-1977,Kalvesta, Sweden,Skyline Sweden,Vickers,22,0,0
20-01-1977,neznama,neznama,North Canada Air,Bristol,1,1,0
11-02-1977,Bratislava, Slovakia,Ceskoslovenské Aerolinie,Avia,4,1,0
15-02-1977,Mineralnye Vody, Russia,Aeroflot,Ilyushin,77,21,0
28-02-1977,Near Saglouc, Canada,Survair,Douglas,4,6,0
01-03-1977,Off Aden, Yemen,Alyemda,Douglas,19,2,0
03-03-1977,Near Cascina, Italy,Military - Italian Air Force,Lockheed,44,0,0
04-03-1977,Niamey, Niger,Overseas National Airways,McDonnell,2,2,0
27-03-1977,Tenerife, Canary Islands,Pan American World Airways / KLM,Boeing,583,61,0
29-03-1977,Bainaha Valley, Indonesia,Merpati Nusantara Airlines,de,15,8,0
30-03-1977,Near Zhadanof, Russia,Aeroflot,Yakovlev,8,19,0
04-04-1977,New Hope, Georgia,Southern Airways,McDonnell,62,23,8
10-04-1977,SW of Bogota, Colombia,El Venado,Douglas,35,0,0
19-04-1977,Tapa AFB, Estonia,Military - Soviet Air Force,Antonov,21,0,0
27-04-1977,Guatemala City, Guatemala,Aviateca,Convair,28,0,0
10-05-1977,Near Jericho, Jordan,Military - Israel Air Force,Sikorsky,54,0,0
13-05-1977,Beiruit, Lebanon,LOT Polish Airlines,Antonov,9,0,0
14-05-1977,Near Lusaka, Zambia,IAS Cargo,Boeing,6,0,0
16-05-1977,New York, New York,New  York Helicopter,Sikorsky,4,21,1
27-05-1977,Havana, Cuba,Aeroflot,Ilyushin,67,2,0
03-06-1977,Natal, Brazil,Military - Brazilian Air Force,Embraer,18,0,0
20-06-1977,Salto-Nueva Hesperides, Uruguay,Fuerza Aérea Uruguaya,Embraer,12,3,0
21-06-1977,neznama,neznama,Military - U.S. Navy,Lockheed,16,0,0
06-07-1977,Saint Louis, Missouri,Fleming International Airways,Lockheed,3,0,0
08-07-1977,Off Kirovograd, Ukraine,Aeroflot,Antonov,6,1,0
14-07-1977,Near Cuangar, Angola,Military - Angolan Air Force,Antonov,30,0,0
20-07-1977,	Vitim, Russia,Aeroflot,Ilyushin,40,0,0
20-07-1977,Jima, Ethiopia,Ethiopian Airlines,Douglas,5,0,0
24-07-1977,Near Puerto Montt, Chile,Military - Chilean Air Force,Douglas,38,44,0
25-07-1977,Near Yoro, Honduras,Military - Honduran Air Force,Douglas,25,15,0
01-08-1977,Encino, California,Private KNBC Los Angeles,Bell,2,0,0
20-08-1977,San Jose, Costa Rica,Monarch Aviation,Convair,3,0,0
25-08-1977,Kona, Hawaii,Island Airways,Shorts,2,0,0
02-09-1977,neznama,neznama,Transmeridian Air Cargo,Canadair,4,0,0
04-09-1977,Near Cuenca, Ecuador,Servicios Aereos Nacionales Airways,Vickers,33,0,0
06-09-1977,Mt. Iliamna, Alaska,Alaska Aeronautical Industries,de,13,0,0
08-09-1977,Mt. Loi Hsam Hsao, Burma,Burma Airways,de,19,0,0
12-09-1977,Yakutat, Alaska,Safe Air Cargo,Douglas,4,0,0
14-09-1977,Near Albuquerque, New Mexico,Military - U.S. Air Force,Boeing,20,0,0
22-09-1977,Bucharest, Romania,Malev Hungarian Airlines,Tupolev,29,24,0
27-09-1977,Kuala Lumpur,  Malaysia,Japan Air Lines,McDonnell,34,45,0
20-10-1977,Near Gillsburg, Mississippi,L & J Company,Convair,6,20,0
21-10-1977,Mindoro, Philippines,Military - U.S. Marine Corps,Sikorksky,24,13,0
03-11-1977,San Cristobal de las Casas, Mexico,Servicios Aereos Martinez Leon,Britten-Norman,13,0,0
19-11-1977,Rome, Italy,Ethiopian Airlines,Boeing,5,0,0
19-11-1977,neznama,neznama,TAP (Air Portugal),Boeing,131,33,0
21-11-1977,Near Bariloche, Argentina,Austral Lineas Aeras (Argentina),BAC,46,33,0
26-11-1977,Near Beziers, France,Military - French Air Force,Nord,32,0,0
02-12-1977,Near Al Bayda, Lebanon,Balkan Bulgarian Airlines,Tupolev,59,106,0
04-12-1977,neznama,neznama,Malaysia Airlines,Boeing,100,0,0
08-12-1977,Intracostal City, Louisiana,Petroleum Helicopter,SNIAS,17,2,0
09-12-1977,Tarko-Saley, USSR,Aeroflot,Antonov,17,6,0
11-12-1977,Hierro, Canary Islands,Military - U.S. Navy,Lockheed,13,0,0
13-12-1977,Evansville, Indiana,"National Jet Services Inc.,  (Air Indiana)",Douglas,29,0,0
18-12-1977,Near Salt Lake City, Utah,United Air Lines,Douglas,3,0,0
18-12-1977,Off Madeira, Portugal,SATA,Aerospatiale,36,21,0
19-12-1977,Vieques, Puerto Rico,Vieques Air Link,Britten-Norman,5,5,0
24-12-1977,neznama,neznama,Valley Air Service,Piper,10,0,0
29-12-1977,Cuenca, Ecuador,Servicios Aereos Nacionales,Vickers,24,0,0
01-01-1978,neznama,neznama,Air India,Boeing,213,0,0
27-01-1978,Near San Vincente, Colombia,SADELCA,Douglas,14,0,0
31-01-1978,Eirunepe, Brazil,TABA,Embraer,2,12,0
10-02-1978,Near Artigas, Uruguay,Uruguayan Air Force,Douglas,44,0,0
10-02-1978,Richland, Washington,Columbia Pacific Airlines,Beechcraft,17,0,0
11-02-1978,neznama,neznama,Pacific Western Airlines,Boeing,42,7,0
28-02-1978,Solvang, California,Security Air,Aero,7,0,0
01-03-1978,neznama,neznama,Continental Airlines,McDonnell,2,198,0
02-03-1978,Kano, Nigeria,Nigeria Airways,Fokker,18,0,0
03-03-1978,Off Caracas, Venezuela,LAV - Linea Aeropostal Venezolana,British,47,0,0
16-03-1978,Vrastsa, Bulgaria,Balkan Bulgarian Airlines,Tupolev,73,0,0
22-03-1978,Near Riverside, California,Lake Havasu Air,Cessna,6,0,0
25-03-1978,Okaraba, Burma,Burma Airways,Fokker,48,0,0
04-04-1978,Off Galveston, Texas,Air Logistics,Bell,3,3,0
05-04-1978,St. Thomas, Virgin Islands,Antilles Air,Grumman,2,7,0
20-04-1978,Near Murmansk, Russia,Korean Airlines,Boeing,2,107,0
29-04-1978,Bogota, Colombia,LAC Colombia,Douglas,8,4,0
08-05-1978,Pensacola, Florida,National Airlines,Boeing,3,55,0
19-05-1978,Pochinok, Russia,Aeroflot,Tupolev,4,130,0
23-06-1978,Saint John's, Newfoundland,Gander Aviation,Beech,10,0,0
26-06-1978,Off Bergen, Norway,Helikopter Service,Sikorsky,18,0,0
26-06-1978,Toronto, Canada,Air Canada,McDonnell,2,105,0
14-08-1978,Sogamoso, Bolivia,Aeropeca,Curtiss,18,0,0
26-08-1978,Papun, Burma,Burma Airways,de,14,0,0
30-08-1978,Las Vegas, Nevada,Las Vegas Airlines,Piper,10,0,0
03-09-1978,Conakry, Guinea,Air Guinee,Ilyushin,15,2,0
03-09-1978,neznama,neznama,AirWest Airlines,de,11,2,0
03-09-1978,Near Kariba, Rhodesia (Zimbabwe),Air Rhodesia,Vickers,38,18,0
09-09-1978,Wrangell, Alaska,Temesco Helicopter - Air Taxi,Soloy,3,0,0
09-09-1978,Near Mexico City, Mexico,Lineas Areas del Centro,de,18,3,0
13-09-1978,Whittier, AK,Alaska Travel,de,6,0,0
14-09-1978,Paranaque, Philippines,Philippine Air Force,Fokker,21,7,12
25-09-1978,San Diego, California,Pacific Southwest Airlines / Private,Boeing,137,0,7
03-10-1978,Near Kuopio, Finland,Military - Finish Air Force,Douglas,15,0,0
03-10-1978,Near Mandalay, Myanmar,Burma Airways,Fokker,2,42,0
06-10-1978,Santiago de Chile, Chile,Military - US Navy,Douglas,0,0,0
07-10-1978,Sverdlovsk, Russia,Aeroflot,Yakovlev,38,0,0
08-10-1978,Kenai, Alaska,Era Helicopter - Air Taxi,Bell,2,5,0
22-10-1978,Off Bellona, Solomon Islands,Solomon Islands Airlines,Britten,11,0,0
23-10-1978,Gulf of Sivash, USSR,Aeroflot,Antonov,26,0,0
05-11-1978,Off Alexandria, Egypt,Nile Delta Air Services,Douglas,18,0,0
15-11-1978,Near Katunayake, Sri Lanka,Loftleidir Icelandic Airlines,McDonnell,183,79,0
18-11-1978,Off Marie Galante Island, West Indies,Air Guadeloupe,de,15,5,0
19-11-1978,Near Leh, India,Military - Indian Air Force,Antonov,77,0,1
21-11-1978,Near Rubio, Venezuela,Aereo el Venado,Douglas,27,0,0
25-11-1978,Hydaburg, Alaska,Tyee Airlines,de,5,0,0
04-12-1978,Near Steamboat Springs, Coloado,Rocky Mountain Airways,de,2,20,0
16-12-1978,Selvapiana, Italy,Air 70,Cessna,10,0,0
17-12-1978,Hyderabad, India,Indian Airlines,Boeing,1,131,3
23-12-1978,neznama,neznama,Alitalia,McDonnell,108,21,0
28-12-1978,Portland, Oregon,United Air Lines,McDonnell,10,179,0
15-01-1979,Minsk, Russia,Aeroflot,Antonov,13,0,0
24-01-1979,Bechar, Algeria,Air Algerie,Nord,14,9,0
27-01-1979,Rodez, France,Air Rouergue,Fokker,5,1,0
30-01-1979,125 miles ENE of Tokyo, Japan,Varig,Boeing,6,0,0
08-02-1979,Near Agudos, Brazil,TAM Lineas Aéreas Regional,Embraer,18,0,0
12-02-1979,Near Kariba, Rhodesia,Air Rhodesia,Vickers,59,0,0
12-02-1979,Clarksburg, West Virginia,Allegheny Airlines,Nord,2,23,0
17-02-1979,Manakau Harbor, New Zealand,Air New Zealand,Fokker,2,2,0
19-02-1979,Barentu, Ethiopia,Ethiopian Airlines,Douglas,5,0,0
01-03-1979,Gulfport, Mississippi,Universal Airways,Beech,8,0,0
10-03-1979,Off Marina del Rey, California,Swift Aire Lines Inc.,Aerospatiale,3,4,0
14-03-1979,Bejing, China,CAAC,Hawker,12,0,32
14-03-1979,Near Doha Airport, Qatar,Alia Royal Jordanian Airlines,Boeing,45,19,0
17-03-1979,Near Moscow, Russia,Aeroflot,Tupolev,58,61,0
26-03-1979,Luanda, Angola,Interflug,Ilyushin,10,0,0
29-03-1979,neznama,neznama,Quebecair,Fairchild,17,7,0
14-04-1979,Off Avalon, California,Catalina Airlines,Grumman,1,10,0
18-04-1979,Newark, New Jersey,New York Airways,Sikorsky,3,15,0
23-04-1979,Near Cuenca, Ecuador,SAETA,Vickers,57,0,0
25-05-1979,Bullen Point, Alaska,Sea Airmotive,de,3,0,0
25-05-1979,Chicago O'Hare, Illinois,American Airlines,McDonnell,271,0,2
27-05-1979,Off Dakar, Senegal,Military - Mauritanian Air Force,de,12,0,0
30-05-1979,Rockland, Maine,Downeast Airlines,de,17,1,0
07-06-1979,Near Leh, India,Military - Indian Air Force,Hindustan,27,0,0
17-06-1979,Hyannis, Massachusetts,Air New England,de,1,9,0
11-07-1979,Near Medan Airfield, Indonesia,Garuda Indonesia Airlines,Fokker,61,0,0
12-07-1979,Bua, Fiji,Fiji Air Services,Britten,9,0,0
12-07-1979,Anchorage, Alaska,Soldotna Air Services,Cessna,7,0,0
23-07-1979,Beirut, Lebanon,Trans Mediterranean Airways,Boeing,6,0,0
24-07-1979,St. Croix, Virgin Islands,Prinair,de,8,13,0
31-07-1979,neznama,neznama,Dan Air Services,Hawker,17,30,0
02-08-1979,Canton, Ohio,Private,Cessna,1,2,0
03-08-1979,Leningrad, USSR,Aeroflot,LET,14,0,0
04-08-1979,Near Panvel, India,Indian Airlines,Hindustan,45,0,0
11-08-1979,Near Volgograd, Russia,Aeroflot / Aeroflot,Tupolev,178,0,0
24-08-1979,Near Enisseysk, USSR,Aeroflot,Antonov,11,5,0
29-08-1979,Near Kirsanov, Russia,Aeroflot,Tupolev,63,0,0
03-09-1979,Andema, Russia,Aeroflot,Antonov,40,4,0
11-09-1979,Off Taipei, Taiwan,China Airlines (Taiwan),Boeing,6,0,0
14-09-1979,Near Klamath Falls, Oregon,Butler Aviation Inc.,Douglas,12,0,0
14-09-1979,Near Sarroch,  Italy,Aero Transporti Italiani,McDonnell,31,0,0
18-09-1979,Blink Horn Point, Canada,Pacific Coastal Airlines,Britten,4,5,0
19-09-1979,Merced, California,Military - U.S. Air Force,Boeing,5,0,0
30-09-1979,Porpoise Bay, British Columbia Canada,West Coast Air,de,2,14,0
07-10-1979,Athens, Greece,Swissair,McDonnell,14,142,0
08-10-1979,Covington, Kentucky,Comair,Piper,8,0,0
27-10-1979,Lensk, Russia,Aeroflot,Antonov,3,9,0
31-10-1979,Mexico City, Mexico,Western Airlines,McDonnell,72,16,1
15-11-1979,Near Chicago, Illinois,American Airlines,Boeing,0,78,0
16-11-1979,Vologda, Russia,Aeroflot,Yakovlev,3,2,0
18-11-1979,Granger, Utah,Transamerica Airlines,Lockheed,3,0,0
26-11-1979,neznama,neznama,Pakistan International Airlines,Boeing,156,0,0
28-11-1979,neznama,neznama,Air New Zealand,McDonnell,257,0,0
30-11-1979,San Andres Island, Colombia,Aerolineas La Gaviola,Grumman,9,0,0
09-12-1979,Cherskiy, Russia,Aeroflot,Antonov,7,0,0
12-12-1979,Apolo, Bolivia,CAMBA,Martin,10,1,0
18-12-1979,Cerro Toledo Mountain, Colombia,SATENA,Douglas,21,0,0
22-12-1979,Near Puerto Esperanza, Peru,Fuerza Aérea del Peru,de,29,0,0
23-12-1979,Ankara, Turkey,Turkish Airlines (THY),Fokker,41,4,0
23-12-1979,Menari, Papua New Guinea,Douglas Airways,GAF,16,0,0
02-01-1980,neznama,neznama,Haïti Air Inter,Britten,9,0,0
11-01-1980,neznama,neznama,Private charter,Cessna,2,0,0
14-01-1980,Shungnak, Alaska,Ambler Air Service,Cessna,7,2,0
21-01-1980,neznama,neznama,Iran Air,Boeing,128,0,0
23-01-1980,Mt. Cemonyet,  Indonesia,Pelita Air Service,CASA,13,0,0
24-01-1980,Near Mandalay, Burma,Military - Union of Burma Air Force,Fairchild,43,1,0
03-02-1980,Baracoa, Cuba,Cubana de Aviacon,Yakovlev,1,36,0
21-02-1980,Leeville, Louisiana,Rotor Airs Inc - Air Taxi,Sikorsky,6,1,0
21-02-1980,neznama,neznama,Advance Airlines,Beechcraft,13,0,0
22-02-1980,Near Agra, India,Military - Indian Air Force,Fairchild,46,1,1
27-02-1980,Manila, Philippines,China Airlines (Taiwan),Boeing,2,133,0
14-03-1980,Near Warsaw, Poland,LOT Polish Airlines,Ilyushin,87,0,0
14-03-1980,Near Yenice, Turkey,Military - U.S. Air Force,Lockheed,18,0,0
21-03-1980,Houston, Texas,Eagle Commuter,Piper,7,3,0
21-03-1980,Off Macae, Brazil,VOTEC,Sikorsky,14,0,0
12-04-1980,Florianopolis, Brazil,Transbrasil,Boeing,55,3,0
14-04-1980,	Krasnoyarsk, Russia,Aeroflot,Antonov,2,51,0
24-04-1980,Posht-i-Badam, Iran,Military - U.S. Air Force,Lockheed,5,2,0
25-04-1980,Tenerife, Canary Islands,Dan Air Services,Boeing,146,0,0
27-04-1980,Don Muang, Thailand,Thai Airways,Hawker,44,9,0
02-06-1980,Near Yachiba, Bolivia,Lloyd Aereo Boliviano,Fairchild,13,0,0
08-06-1980,Near Matala, Angola,Lineas Aereas de Angola,Yakovlev,29,0,0
12-06-1980,Near Dushanbe, Russia,Aeroflot,Yakovlev,29,0,0
12-06-1980,Valley, Nebraska,Air Wisconsin,Swearingen,13,2,0
27-06-1980,neznama,neznama,Itavia,McDonnell,81,0,0
08-07-1980,neznama,neznama,Aeroflot,Tupolev,166,0,0
01-08-1980,Cerro Lilio, Mexico,Aeronaves del Peru,Douglas,3,4,0
06-08-1980,Houma, Louisiana,Air Logistics,Bell,13,0,0
07-08-1980,Nouadhibou, Mauretania,Tarom,Tupolev,1,167,0
19-08-1980,Riyadh, Saudi Arabia,Saudi Arabian Airlines,Lockheed,301,0,0
26-08-1980,Near Jakarta, Indonesia,Bouraq Indonesia Airlines,Vickers,37,0,0
05-09-1980,Near Montelimar, France,Military - Kuwait Air Force,Lockheed,8,0,0
10-09-1980,Puerto Olaya, Colombia,Aeronorte Colombia,Douglas,3,0,0
12-09-1980,Off Freeport, Bahamas,Florida Commuter Airlines,Douglas,34,0,0
14-09-1980,Kindu, Zaire,Military - Force Aérienne Zaïroise,Lockheed,36,0,0
15-09-1980,Near Medina, Saudi Arabia,Military - Royal Saudi Air Force,Lockheed,89,0,0
17-09-1980,Near Kindu, Zaire,Military - Zairean Air Force,de,36,0,0
30-09-1980,Badakshan, Afghanistan,Military - Soviet Air Force,Antonov,45,0,0
12-11-1980,Near Cairo, Egypt,Military - U.S. Air Force,Lockheed,13,0,0
19-11-1980,Seoul, South Korea,Korean Airlines,Boeing,15,211,0
24-11-1980,Near Medellin, Colombia,F.R. de la Direccion General de Ados,Douglas,20,0,0
28-11-1980,Pecos City, Texas,Central Air Services,Douglas,2,0,0
05-12-1980,Dar es Salaam, Tanzania,Tanzania Aviation,Piper,10,0,0
21-12-1980,Near Rio Hacha, Colombia,Transportes Aereos del Caribe,Aerospatiale,70,0,0
23-12-1980,Qatar, Qatar,Saudi Arabian Airlines,Lockheed,2,289,0
14-01-1981,Ramstein AFB, West Germany,Military - U.S. Air Force,Lockheed,11,0,0
20-01-1981,Spokane, Washington,Cascade Airways,Beechcraft,7,2,0
07-02-1981,Near Leningrad, Russia,Military - Soviet Navy,Tupolev,52,0,0
11-02-1981,White Plains, New York,Private - Corporate,Lockheed,8,0,0
22-02-1981,Avalon, California,Helicopter - Air Taxi,Sikorsky,2,6,0
24-02-1981,Belem, Brazil,VOTEC,Embraer,11,3,0
26-02-1981,neznama,neznama,Military - U.S. Air Force,Lockheed,23,1,0
