date,location,state,airline,aircraft_brand,no_deaths,no_survivors,no_ground_casualties
22-01-1931, Bluff Mountain, Washington,Varney Air Lines,Boeing,1,0,0
08-02-1931,Wairoa, New Zealand,Dominion Air Lines,Desoutter,3,0,0
20-02-1931,neznama,neznama,Western Canada Airways,Fokker,2,1,0
24-02-1931,neznama,neznama,Aeropostale,Latecoere,1,2,0
21-03-1931,New South Wales, Australia,Australian National Airways,Avro,8,0,0
31-03-1931,Bazaar, Kansas,Trans Continental and Western Air,Fokker,8,0,0
14-04-1931,Near Letschen, Germany,Deutsche Lufthansa,Messerschmitt,2,8,0
05-05-1931,Burbank, California,Pacific Air Transport,Boeing,2,0,0
22-05-1931,Wampit, Australia,Guiena Airways,Junkers,1,0,0
24-05-1931,Bellefonte, Pennsylvania,National Air Transport,Boeing,1,0,0
07-06-1931,Near Sandoway, Burma,Air Orient,Fokker,4,0,0
11-06-1931,Walbridge, Ohio,Rubner Flying Service,Lockheed,2,1,0
13-06-1931,Saarbrucken, Germany,Deutsche Lufthansa,Dornier,4,0,0
12-07-1931,Chicago, Illinois,Braniff Airlines,Lockheed,2,0,0
14-07-1931,Temora, Australia,Australian Aerial Services,Lasco,2,0,0
21-07-1931,Centralia, Illinois,American Airways,Pitcairn,1,0,0
24-07-1931,Kurudjevo, Bulgaria,CIDNA,Fokker,7,0,0
09-08-1931,Cincinnati, Ohio,American Airways,Ford,6,0,0
14-09-1931,Chicago, Illinois,Chicago-Detroit Airways,Lockheed,1,0,0
15-09-1931,neznama,neznama,CIDNA,Fokker,6,0,0
16-09-1931,Oakland, California,Pacific Air Transport,Boeing,4,0,0
06-10-1931,Novia Scotia, Canada,Deutsche Lufthansa,Heinkel,3,0,0
14-10-1931,neznama,neznama,Syndicato Condor,Dornier,3,0,0
05-11-1931,Camden, New Jersey,"NY, Phil., Washington AW",Lockheed,5,0,0
13-11-1931,Sir Lowry's pass, South Africa,Union Airways,De,3,0,0
23-11-1931,Salt Lake City, Utah,Boeing Air Transport,Boeing,1,0,0
24-11-1931,Near Tsinan, China,China National Aviation Corporation,Stinson?,3,0,0
26-11-1931,Pasco, Washington,Varney Air Lines,Boeing,1,0,0
05-12-1931,Kewanee, Illinois,Braniff Airways,Lockheed,2,4,0
06-12-1931,Bangkok, Thailand,KLM Royal Dutch Airlines,Fokker,5,2,0
09-12-1931,neznama,neznama,Aeropostale,CAMS,2,0,0
31-12-1931,Springfield, Ohio,American Airways,Fairchild,4,1,0
21-01-1932,Colvin Park, Ilinois,Northwest Airways,Stinson,1,0,0
29-01-1932,Lebec, California,Century Pacific Lines,Stinson,8,0,0
01-02-1932,Off Miami, Florida,Bimini Airways,Fairchild?,5,0,0
02-02-1932,Rio Vista, California,Boeing Air Transport,Boeing,1,1,0
02-02-1932,Marcellus, Michigan,Transamerican Airlines,Stearman,1,0,0
27-02-1932,Off Setiba, Brazil,Aeropostale,Latecoere,3,0,0
08-03-1932,Saint Louis, Illinois,Century Air Lines,Stinson,3,2,0
19-03-1932,Calimesa, California,American Airways,Fokker,7,0,0
21-03-1932,Steubenville, Ohio,Trans Continental and Western Air,Northrop,1,0,0
29-03-1932,Rutbah Wells, Iraq,Air Orient,Farman,3,0,0
31-03-1932,Bedford, Ohio,National Air Transport,Boeing,1,0,0
21-04-1932,Fort Wayne, Indiana,Transamerica Airlines,Stearman,1,0,0
16-05-1932,Burbank, California,Pacific Air Transport,Boeing,3,0,0
30-05-1932,Portland, Oregon,Varney Air Lines,Boeing,1,1,0
16-07-1932,neznama,neznama,Panagra,Ford,9,0,0
12-08-1932,Beyrouth, Lebanon,Air Orient,CAMS,0,7,0
31-08-1932,Tubergen, Germany,A B Aerotransport,Junkers,2,0,0
08-09-1932,Salt Flats, Texas,American Airways,Fokker,3,1,0
17-09-1932,Selsdon Park, England,Air Union,Liore-et-Olivier,1,1,0
18-09-1932,Byron Bay, Australia,New England Airways,De,3,0,0
12-10-1932,Port Etienne, Mauritania,Aeropostale,Latecoere,1,0,0
26-10-1932,Villa Monte, Bolivia,Lloyd Aero Boliviano,Ford,2,0,0
29-10-1932,Ramsgate, England,Deutsche Lufthansa,Junkers,2,0,0
02-11-1932,Echterpfuhl, Germany,Deutsche Lufthansa,Junkers,5,0,0
25-11-1932,Marianna, Arkansas,Hunter Airways,Travel,2,0,0
14-12-1932,Amarillo, Texas,Trans Continental and Western Air,Ford,2,0,0
14-12-1932,Rocky Ridge, Colorado,Boeing Air Transport,Boeing,1,0,0
26-12-1932,Wau, Australia,Guinea Airways,De,1,0,0
10-01-1933,neznama,neznama,Aeropostale,CAMS,1,2,0
14-01-1933,Newark, New Jersey,Eastern Air Transport,Curtiss,2,0,0
20-01-1933,Marietta, Georgia,American Airways,Stearman,1,0,0
20-01-1933,Bourne, Texas,American Airways,Stearman,1,0,0
24-01-1933,Eugene, Oregon,Pacific Air Transport,Ford,2,1,0
11-03-1933,Near Mendoza, Argentina,Pan American Grace Airways,Fairchild,2,0,0
25-03-1933,Hayward, California,Varney Airlines,Lockheed,3,0,11
28-03-1933,Near Dixmude, Belgium,Imperial Airways,Armstrong,15,0,0
03-04-1933,Hemkenrode, Germany,Deutsche Lufthansa,Junkers,1,1,0
04-04-1933,Off Barnegat, New Jersey,Military - U.S. Navy,Goodyear-Zeppelin,73,3,0
23-04-1933,neznama,neznama,Air Orient,Cams,5,3,0
29-04-1933,Traunstein, Germany,Eurasia,Junkers,4,0,0
09-05-1933,Near Viladrau, Spain,Aeropostale - La Tecoere Company,Latecoere,6,0,0
04-06-1933,Bowling Green, Virginia,Eastern Air Transport,Pitcairns,1,0,0
11-06-1933,Glenview, Illinois,Palwaukee,Sikorsky,9,0,0
18-07-1933,neznama,neznama,Societa Anonima Aero Expresso Italiana,CMASA,6,0,0
29-08-1933,Quay, New Mexico,Trans Continental and Western Air,Ford,5,0,0
12-09-1933,Near Ljubljana, Yugoslavia,Aeroput,Farman,8,0,0
10-10-1933,Chesterton, Indiana,United Air Lines,Boeing,10,0,0
31-10-1933,Etobon, France,Air France,Farman,2,3,0
09-11-1933,Portland, Oregon,United Air Lines,Boeing,0,0,0
10-11-1933,Moriarty, New Mexico,Trans Continental and Western Air,Northrop,0,1,0
20-11-1933,Near Tsinan, China,China National Aviation Corporation,Stinson?,0,0,0
21-11-1933,neznama,neznama,Kalinin,Kalinin,14,6,0
24-11-1933,Wedron, Illinois,National Air Transport,Boeing,2,0,0
11-12-1933,Hamburg, Germany,Deutsche Lufthansa,Focke-Wulf,6,4,0
14-12-1933,Eshowe, South Africa,Union Airways,Junkers,5,1,0
30-12-1933,Near Ruysselede, Belgium,Imperial Airways,Avro,10,0,0
15-01-1934,Corbigny, France,Air France,Dewoitine,14,0,0
20-01-1934,Carombe, France,Air France,Breguet,2,0,0
23-02-1934,Near Salt Lake City, Utah,Boeing Aircraft Company,Boeing,8,0,0
26-02-1934,Rio de Oro, Morocco,Air France,Latécoère,1,5,0
06-03-1934,Petersburg, Illinois,American Airways,Fairchild,4,0,0
10-03-1934,Pereira, Colombia,Pan American Airways (Scadta),Sikorsky,5,1,0
22-03-1934,Near Lima, Peru,Pan American Grace Airlines,Ford,3,12,0
10-04-1934,Ningpo Bay, China,China National Aviation Corporation,Sikorsky,3,0,0
09-05-1934,neznama,neznama,Air France,Wibault,6,0,0
31-05-1934,Croydon, England,Air France,Liore-et-Olivier,2,0,0
09-06-1934,Mongaup Mountain, New York,American Airways,Curtiss,7,0,0
11-06-1934,Junin, Argentina,Panagra,Ford,6,4,0
22-06-1934,Chausseehausen, Germany,Deutsche Lufthansa,Dornier,1,6,0
23-06-1934,Burbank, California,Aerevias Centrales Air Service,Lockheed,1,0,0
09-07-1934,San Bernardino, California,United Air Services,Lockheed,3,1,0
27-07-1934,Near Tuttlingen, Germany,Swissair,Curtiss,12,0,0
