date,location,aircraft_brand,no_deaths
23-07-2014,"Magong, TaiwanTransAsia Airways",ATR,48
24-07-2014,"Aguelhok, MaliAir Algerie",Mc,116
10-08-2014,"Tehran, IranSepahan Airlines",HESA,39
30-08-2014,"Tamanraset, AlgeriaUkraine Air Alliance",Antonov,7
31-08-2014,"Mwanza, TanzaniaSafari Express Cargo",Fokker,3
20-09-2014,"Near Port Moresby, Papua New GuineaHevlift",de,4
04-10-2014,"Wichita Falls, TexasAir Evac Lifeteam",Bell,2
28-12-2014,"Near Uvira, CongoAir Sirin",Antonov,6
28-12-2014,Java SeaAirAsia,Airbus,162
18-01-2015,"Near Abu adh Dhuhur Air Base, SyriaSyrian Air Force",Antonov,37
04-02-2015,"Taipei, TaiwanTransasia",ATR,43
09-03-2015,"Villa Castelli, ArgentinaPrivate",Both,10
24-03-2015,"Near Digne-Les-Bains, FranceGermanwings",Airbus,150
25-06-2015,"Ella Lake, AlaskaPromech Air",de,9
30-06-2015,"Medan, IndonesiaMilitary - Indonesian Air Force",Lockheed,122
31-07-2015,"Near Agustin Codazzi, ColombiaMilitary - Colombia Air Force",CASA,11
12-08-2015,"Ninia, IndonesiaKomala Air",Pacific,1
16-08-2015,"Tangok mountain, PapuaTrigana Air Service",ATR,54
05-09-2015,"Off Dakar, Near Dioubel, SenegalSenegalair",Hawker,7
15-09-2015,"Iliamna East Wind Lake, AlaskaRainbow King Lodge",de,3
02-10-2015,"Jalalabad, AfghanistanMilitary - U.S. Army",Lockheed,11
02-10-2015,"Near Masamba, IndonesiaAvistar Mandari",de,10
31-10-2015,"Near Ilaga, IndonesiaTrigana Air Service",de,4
31-10-2015,"Near Hasna, EgyptMetrojet",Airbus,224
04-11-2015,"Juba, South SudanAllied Services Limited",Antonov,41
21-11-2015,"Fox Glacier, South Valley, New ZealandAlpine Adventures",Aerospatiale,7
24-11-2015,"Near Igarka, RussiaTuruhan Avia",Mil,15
08-01-2016,"Akkajaure Lake, Norrbotten, SwedenWest Air Sweden",Canadair,2
02-02-2016,"Near Mogadishu, SomaliaDaallo Airlines",Airbus,1
24-02-2016,"Dana, NepalTara Air",de,23
26-02-2016,"250 miles northwest of Kathmandu, NepalKasthamandap Airlines",PAC,2
09-03-2016,"Cox's Bazar, BangladeshTrue Aviation Ltd.",Antonov,3
15-03-2016,"Fatima Pastaza, EcuadorMilitary - Ecuador Army",IAI,22
19-03-2016,"Rostov-on-Don, RussiaFlydubai",	Boeing,62
29-03-2016,"Magdelen Islands, Quebec, CanadaMarquise Aviation Corp.",Mitsubishi,7
04-04-2016,"Near Pigeon Forge, TennesseeSmoky Mountain Helicopters",Bell,5
13-04-2016,"Kiunga, Papua New GuineaSunbird Aviation",Britten-Norman,12
29-04-2016,"Sorta, Norway	CHC Helikopter Service",	Eurocopter,13
19-05-2016,175 miles off the Egyptian coastEgyptAir,Airbus,66
22-07-2016,"Bay of Bengal, Indian OceanIndian Air Force",Antonov,29
30-07-2016,"Near Lockhart, TexasHeart of Texas Hot Air Balloon Rides",,16
05-08-2016,"Dubai, United Arab EmiratesEmirates",Boeing,0
31-08-2016,"Russian Mission, AlaksaHageland Aviiation",Cessna,5
24-10-2016,Malta International AirportAE Aviation,Swearingen,5
28-11-2016,"Near La Union, ColombiaLAMIA Bolivia",Avro,71
03-12-2016,"Near Tanjung Pinanga, IndonesiaIndonesian Police",M28,13
07-12-2016,"Near Havlien, PakistanPakistan International Airlines",ATR-42-500AP-BHO,48
18-12-2016,"Near Wamena, Papua, IndonesiaIndonesian Air Force",,13
20-12-2016,"Puerto Carreno, ColombiaAerosucre Colombia",Boeing,5
25-12-2016,"Near Adar, RussiaRussian Air Force",Tupolev,92
16-01-2017,"Bishkek, KyrgyzstanMy Cargo Airlines (ACT Airlines)",Boeing,4
21-02-2017,"Melbourne, Victoria, AustraliaAustralian Corporate Jet Centres PTY. LTD",Beechcraft,5
10-03-2017,"Istanbul, TurkeySwan Aviation",Sikorsky,7
27-03-2017,"Mautaer, ZimbabweETA Air Charter",Britten-Norman,6
05-05-2017,"Charleston, West VirginiaAir Cargo Carriers",Shorts,2
27-05-2017,"Tenzing, NepalSummit Air",Let,2
07-06-2017,"Off Dawei, MyanmarMilitary - Myanmar Air Force",Shaanxi,122
28-06-2017,"Mount Gambier, South AustraliaAngel Flight",Socata,3
10-07-2017,"Near Itta Bena, MississipiUSMC",Lockheed,16
30-09-2017,"Near Kinshasa, CongoAir Force of the Democratic Republic of the Congo",Antonov,12
12-10-2017,"Near Cuílo, AngolaGuicango",Embraer,7
14-10-2017,"Abidjan, Ivory CoastValan International Cargo Charter",Antonov,4
15-11-2017,"Empakaai, TanzaniaCostal Aviation",Cessna,11
13-12-2017,"Near Fond-du-Lac, SaskatchewanWest Wind Aviation",ATR42-320C-GWEA,1
31-12-2017,"Punta Islita, Costa RicaNaure Air",Cessna,12
29-01-2018,"Zhengchang, Suiyang County, Guizhou ProvincePeople's Liberation Army Air Force",Shaanxi,12
10-02-2018,"Grand Canyon, ArizonaPapillon",Eurocopter,3
11-02-2018,"Argunovo, RussiaSaratov Airlines",Antonov,71
18-02-2018,"Kohangan village, IranIran Aseman Airlines",ATR,66
06-03-2018,"Latakia, SyriaMilitary - Russian Air Force",Antonov,39
11-03-2018,"New York, New YorkLiberty Helicopters",Eurocopter,5
11-03-2018,"81 miles SW o fShahre Kurd, IranMc Aviation",Canadair,11
12-03-2018,"Kathmandu, NepalUS-Bangla Airlines",de,51
11-04-2018,"Boufarik AB, AlgeriaMilitary - Algerian Air Force",Ilyushin,257
17-04-2018,"NW of Philadelphia, PennsylvaniaSouthwest Airlines",Boeing,1
02-05-2018,"Port Wentworth, GeorgiaMilitary - US Air Force",Lockheed,9
18-05-2018,"Havana, CubaCubana (leased from Global Air)",Boeing,112
05-06-2018,"Near Njabini, KenyaFly SAX",Cessna,10
10-07-2018,"Pretoria, South AfricaRovos Air",Convair,1
04-08-2018,"Flims, SwitzerlandJu Air",Junkers,20
17-09-2018,"Near Latakia-Khmeimim Air Base, IranMilitary - Russian Air Force",Ilyushin,15
28-09-2018,"Chuuk, MicronesiaAir Niugini",Boeing,1
29-10-2018,"Off Jakarta, IndonesiaLion Air",Boeing,189
06-11-2018,"Georgetown, GuyanaFly Jamaica Airways",Boeing,1
14-01-2019,"Karaj, IranSaha Air",Boeing,15
23-02-2019,"Houston, TexasAtlas Air serving Amazon",Boeing,3
09-03-2019,"Vereda La Bendicion, ColombiaLaser Aereo Colombia",Douglas,14
10-03-2019,"Bishoftu, EthiopiaEthiopian Airlines",Boeing,157
16-04-2019,"Puerto Montt, ChileArchipelagos Service Aereos",Pilatus-Britten,6
05-05-2019,"Near Monclava, MexicoTVPX Aircraft Solutions",Canadair,13
05-05-2019,"Moscow, RussiaAeroflot Russian International Airlines",Sukhoi,41
03-06-2019,"Near Lipo, IndiaMilitary - Indian Air Force",Antonov,13
30-07-2019,"Rawalpindi, IndiaMilitary - Pakistan Army",Beechcraft,5
11-09-2019,"Toledo, OhioPrivate",Convair,2
04-10-2019,"Lviv, UkraineUkraine Air Alliance",Antonov,5
24-11-2019,"Goma, Democratic Republic of CongoBusy Bee Congo",Dornier,19
27-12-2019,"Almaty, KazakhstanBek Air",Fokker,12
02-01-2020,"Geneina, SudanSudanese Air Force",Antonov,18
08-01-2020,"Near Shahriah, IranUkraine International Airlines",Boeing,176
05-02-2020,"Istanbul, TurkeyPegasus Airlines",Boeing,3
29-03-2020,"Manila, PhilippinesLion Air Inc.",IAI,8
22-05-2020,"Karachi, PakistanPakistan International Airline",Airbus,97
07-08-2020,"Calicut, IndiaAir India Exppress",Boeing,20
22-08-2020,"Juba, South SudanSouth West Aviaiton",Antonov,7
25-09-2020,"Near Chuguev, UkraineMilitary - Ukraine Air Force",Antonov,26
